id,year,age,sex,educ,hrs1,happy,childs
85,2024,47,2,17,,2,3
86,2024,62,2,14,,2,8
87,2024,37,2,13,30,,3
88,2024,50,2,12,40,2,2
89,2024,34,2,14,20,1,3
90,2024,36,1,16,35,2,0
91,2024,75,2,14,,2,2
92,2024,41,2,13,,3,3
93,2024,36,2,7,,1,3
94,2024,41,1,17,42,1,8
95,2024,79,1,12,,2,2
96,2024,26,1,13,40,2,0
97,2024,55,2,12,,2,1
98,2024,34,1,12,35,2,0
99,2024,54,1,12,40,2,0
100,2024,61,2,15,50,1,0
101,2024,72,2,14,,2,0
102,2024,54,2,16,40,2,0
103,2024,57,2,20,,3,1
104,2024,60,1,18,40,1,0
105,2024,86,2,16,,2,0
106,2024,66,1,12,,2,2
107,2024,55,2,12,35,1,3
108,2024,48,1,12,40,1,2
109,2024,34,2,14,28,2,2
110,2024,32,2,16,36,2,0
111,2024,68,2,15,,3,0
112,2024,35,2,12,,1,0
113,2024,44,2,12,28,2,5
114,2024,48,1,12,,3,2
115,2024,43,1,14,,3,7
116,2024,43,2,13,,2,4
117,2024,45,2,12,,1,6
118,2024,63,2,13,,2,1
119,2024,27,1,12,,3,0
120,2024,37,2,16,31,3,2
121,2024,60,2,12,,2,1
122,2024,22,1,,,,4
123,2024,44,1,10,,3,0
124,2024,24,1,12,40,2,0
125,2024,51,1,13,,3,6
126,2024,39,2,14,25,2,2
127,2024,55,1,20,40,2,1
128,2024,48,2,11,,3,4
129,2024,60,1,16,45,2,0
130,2024,60,2,16,40,3,2
131,2024,70,2,17,,3,1
132,2024,65,1,18,,2,2
133,2024,54,1,13,40,3,0
134,2024,45,2,11,,2,4
135,2024,38,2,12,25,3,5
136,2024,22,1,15,40,2,1
137,2024,76,2,16,,2,1
138,2024,42,1,20,45,1,3
139,2024,89,2,16,,1,2
140,2024,89,2,12,,2,5
141,2024,56,2,16,,3,3
142,2024,55,2,14,40,1,1
143,2024,41,1,18,60,1,3
144,2024,53,1,16,,3,2
145,2024,60,2,16,34,2,2
146,2024,72,2,13,,2,2
147,2024,72,1,16,,2,1
148,2024,72,2,16,,2,3
149,2024,89,2,16,,3,3
150,2024,71,2,12,,3,3
151,2024,74,2,17,,2,3
152,2024,30,2,16,,2,0
153,2024,77,2,16,,2,0
154,2024,73,2,12,,2,2
155,2024,65,2,20,15,2,2
156,2024,59,1,16,40,2,3
157,2024,49,1,13,42,3,0
158,2024,64,2,19,40,2,2
159,2024,70,1,18,,2,1
160,2024,68,1,14,,1,0
161,2024,31,1,18,36,1,1
162,2024,36,2,16,,1,2
163,2024,36,1,16,32,2,2
164,2024,45,2,16,24,2,2
165,2024,67,1,20,10,2,2
166,2024,52,2,16,10,2,4
167,2024,35,2,20,55,2,0
168,2024,28,2,18,40,2,0
169,2024,41,2,16,40,2,0
170,2024,23,2,17,50,2,0
171,2024,27,2,17,,1,0
172,2024,55,1,16,30,2,0
173,2024,69,2,4,,2,1
174,2024,65,2,12,,2,0
175,2024,38,2,14,52,2,3
176,2024,37,1,12,40,2,0
177,2024,70,1,12,,2,2
178,2024,62,1,12,,2,3
179,2024,70,2,18,,2,3
180,2024,64,2,15,,2,2
181,2024,60,2,16,,2,0
182,2024,42,2,13,40,2,0
183,2024,27,1,16,40,1,0
184,2024,,2,20,60,2,0
185,2024,66,1,18,,2,1
186,2024,58,2,16,40,1,1
187,2024,69,1,16,,2,1
188,2024,37,2,16,40,2,1
189,2024,49,2,16,,2,2
190,2024,72,1,19,,2,1
191,2024,22,2,16,,2,0
192,2024,80,1,20,,2,1
193,2024,57,1,18,40,2,2
194,2024,75,2,15,,2,2
195,2024,32,1,16,40,2,2
196,2024,34,2,14,,2,0
197,2024,34,1,12,30,3,0
198,2024,34,1,12,,2,0
199,2024,64,1,14,50,3,3
200,2024,71,1,9,,2,0
201,2024,21,1,12,40,2,0
202,2024,29,,20,25,2,2
203,2024,62,2,15,25,2,2
204,2024,73,2,13,,1,0
205,2024,62,1,15,,1,3
206,2024,,1,1,,2,3
207,2024,74,2,14,,1,1
208,2024,26,2,6,40,1,2
209,2024,58,2,17,,3,4
210,2024,18,2,12,37,2,0
211,2024,22,1,12,44,3,1
212,2024,30,1,12,,3,0
213,2024,39,1,16,60,2,2
214,2024,19,1,13,,2,0
215,2024,41,2,12,15,2,1
216,2024,38,2,11,20,3,2
217,2024,24,2,18,80,2,0
218,2024,66,1,14,,1,2
219,2024,33,1,12,,2,1
220,2024,48,2,16,64,3,5
221,2024,21,2,15,25,3,0
222,2024,28,1,11,8,3,0
223,2024,28,1,12,,3,2
224,2024,29,2,12,,3,5
225,2024,18,1,11,,3,0
226,2024,40,1,14,60,1,1
227,2024,62,1,17,,2,2
228,2024,39,1,12,,3,2
229,2024,,2,12,26,2,3
230,2024,53,2,18,40,2,0
231,2024,41,2,18,40,1,0
232,2024,72,1,14,,1,3
233,2024,34,2,14,40,2,1
234,2024,35,2,16,50,1,0
235,2024,46,2,14,30,1,2
236,2024,80,2,18,,1,0
237,2024,34,2,17,40,3,1
238,2024,35,2,12,,1,3
239,2024,54,1,12,,1,2
240,2024,73,1,17,,1,4
241,2024,49,2,12,32,2,2
242,2024,55,2,12,50,2,2
243,2024,37,2,12,6,2,3
244,2024,44,2,12,20,2,3
245,2024,47,1,11,50,2,6
246,2024,37,1,13,40,2,3
247,2024,,2,17,,3,0
248,2024,48,1,10,40,3,2
249,2024,54,2,13,,3,1
250,2024,28,1,14,30,2,0
251,2024,42,2,13,40,3,3
252,2024,64,2,16,,2,2
253,2024,89,2,0,,3,8
254,2024,82,2,6,,1,2
255,2024,37,2,16,44,1,0
256,2024,80,2,6,,1,0
257,2024,19,1,13,,2,0
258,2024,69,2,14,40,2,2
259,2024,51,2,12,26,3,4
260,2024,68,2,12,40,2,4
261,2024,58,1,14,40,3,0
262,2024,59,2,16,,2,4
263,2024,66,1,16,,2,1
264,2024,22,2,10,6,2,0
265,2024,34,1,16,20,3,0
266,2024,82,1,16,,1,3
267,2024,74,1,16,,2,4
268,2024,61,2,14,8,2,1
269,2024,64,1,17,40,2,1
270,2024,42,1,14,,2,0
271,2024,37,1,,,3,0
272,2024,19,2,10,51,3,0
273,2024,37,2,17,45,2,0
274,2024,70,2,18,50,2,1
275,2024,50,2,12,,2,3
276,2024,39,2,10,,1,3
277,2024,66,2,2,40,1,2
278,2024,46,2,10,,2,4
279,2024,41,2,6,36,2,3
280,2024,48,1,18,60,2,7
281,2024,82,2,15,,3,2
282,2024,68,2,14,,2,2
283,2024,69,2,18,,3,0
284,2024,89,2,16,3,1,2
285,2024,62,1,16,60,2,2
286,2024,82,2,18,,3,2
287,2024,60,1,16,,2,1
288,2024,18,2,13,,1,0
289,2024,64,1,18,,,0
290,2024,79,1,20,,2,6
291,2024,60,2,18,45,2,0
292,2024,38,1,18,40,2,0
293,2024,39,1,16,40,2,1
294,2024,,2,14,40,2,0
295,2024,35,2,15,,2,0
296,2024,61,1,16,55,2,3
297,2024,36,1,16,39,3,0
298,2024,22,2,16,,2,0
299,2024,33,2,12,25,2,2
300,2024,47,1,17,50,2,0
301,2024,60,1,15,70,1,3
302,2024,54,1,16,40,3,0
303,2024,63,1,17,10,2,0
304,2024,54,2,16,40,2,2
305,2024,65,2,16,40,2,1
306,2024,51,1,14,35,2,0
307,2024,69,,4,,3,
308,2024,36,1,15,,3,0
309,2024,,2,16,45,3,0
310,2024,27,2,13,50,3,0
311,2024,61,1,16,,3,0
312,2024,31,1,16,,2,0
313,2024,35,2,12,,3,3
314,2024,50,2,16,40,2,3
315,2024,66,1,15,,2,0
316,2024,31,1,12,40,2,1
317,2024,29,2,12,20,2,0
318,2024,35,2,13,,2,1
319,2024,27,2,15,50,2,0
320,2024,33,1,16,40,2,0
321,2024,69,2,12,,2,2
322,2024,36,1,14,50,3,0
323,2024,38,1,12,70,3,1
324,2024,50,2,12,39,2,1
325,2024,33,2,16,40,3,0
326,2024,39,2,16,42,3,0
327,2024,69,2,18,40,2,0
328,2024,,2,18,40,3,1
329,2024,32,2,12,,3,5
330,2024,57,1,12,,3,3
331,2024,40,1,12,,2,2
332,2024,27,2,12,16,3,0
333,2024,54,1,12,50,2,2
334,2024,44,2,18,40,3,1
335,2024,32,2,12,40,1,2
336,2024,70,2,18,40,3,0
337,2024,73,2,15,,2,4
338,2024,32,1,14,40,2,1
339,2024,61,1,16,40,1,8
340,2024,,2,12,,1,2
341,2024,67,2,12,40,2,0
342,2024,55,1,12,40,3,1
343,2024,33,1,16,45,2,0
344,2024,,2,19,32,2,3
345,2024,31,2,0,40,1,2
346,2024,31,1,12,40,3,0
347,2024,38,1,20,40,3,1
348,2024,38,2,15,30,1,2
349,2024,67,1,12,35,2,2
350,2024,31,2,20,40,2,2
351,2024,39,1,16,40,2,2
352,2024,38,2,16,40,2,3
353,2024,81,1,9,,2,3
354,2024,47,2,15,40,2,1
355,2024,55,2,20,25,2,1
356,2024,66,2,18,,1,2
357,2024,44,2,18,12,2,3
358,2024,18,2,11,,2,0
359,2024,71,1,16,,2,3
360,2024,54,1,16,67,1,2
361,2024,19,1,14,30,3,0
362,2024,58,2,13,37,2,0
363,2024,58,2,12,40,3,3
364,2024,71,2,12,,3,2
365,2024,60,1,16,60,2,2
366,2024,69,1,17,,1,1
367,2024,55,2,15,50,2,2
368,2024,89,2,12,,3,4
369,2024,42,1,16,40,2,4
370,2024,50,1,12,,2,0
371,2024,32,2,16,60,1,0
372,2024,69,1,13,,2,3
373,2024,28,1,12,40,2,0
374,2024,58,1,16,60,1,0
375,2024,76,2,14,,1,0
376,2024,,2,14,25,3,2
377,2024,60,2,14,39,3,3
378,2024,26,1,16,40,2,0
379,2024,47,2,12,43,2,2
380,2024,52,2,14,40,2,0
381,2024,46,2,12,80,2,6
382,2024,80,2,13,,2,0
383,2024,45,1,14,28,2,0
384,2024,35,1,13,40,1,0
385,2024,35,1,16,30,2,0
386,2024,66,1,13,40,1,3
387,2024,46,2,16,80,3,6
388,2024,78,2,11,,1,1
389,2024,74,2,12,,1,5
390,2024,51,1,12,,3,3
391,2024,59,1,12,,3,0
392,2024,36,2,13,,3,4
393,2024,52,2,17,40,2,0
394,2024,63,2,16,,1,3
395,2024,78,1,14,,2,0
396,2024,42,2,13,,1,0
397,2024,77,1,19,,2,1
398,2024,39,2,13,36,1,2
