id,year,age,sex,educ,hrs1,happy,childs
141,2024,56,2,16,,3,3
142,2024,55,2,14,40,1,1
143,2024,41,1,18,60,1,3
144,2024,53,1,16,,3,2
145,2024,60,2,16,34,2,2
146,2024,72,2,13,,2,2
147,2024,72,1,16,,2,1
148,2024,72,2,16,,2,3
149,2024,89,2,16,,3,3
150,2024,71,2,12,,3,3
151,2024,74,2,17,,2,3
152,2024,30,2,16,,2,0
153,2024,77,2,16,,2,0
154,2024,73,2,12,,2,2
155,2024,65,2,20,15,2,2
156,2024,59,1,16,40,2,3
157,2024,49,1,13,42,3,0
158,2024,64,2,19,40,2,2
159,2024,70,1,18,,2,1
160,2024,68,1,14,,1,0
161,2024,31,1,18,36,1,1
162,2024,36,2,16,,1,2
163,2024,36,1,16,32,2,2
164,2024,45,2,16,24,2,2
165,2024,67,1,20,10,2,2
166,2024,52,2,16,10,2,4
167,2024,35,2,20,55,2,0
168,2024,28,2,18,40,2,0
169,2024,41,2,16,40,2,0
170,2024,23,2,17,50,2,0
171,2024,27,2,17,,1,0
172,2024,55,1,16,30,2,0
173,2024,69,2,4,,2,1
174,2024,65,2,12,,2,0
175,2024,38,2,14,52,2,3
176,2024,37,1,12,40,2,0
177,2024,70,1,12,,2,2
178,2024,62,1,12,,2,3
179,2024,70,2,18,,2,3
180,2024,64,2,15,,2,2
181,2024,60,2,16,,2,0
182,2024,42,2,13,40,2,0
183,2024,27,1,16,40,1,0
184,2024,,2,20,60,2,0
185,2024,66,1,18,,2,1
186,2024,58,2,16,40,1,1
187,2024,69,1,16,,2,1
188,2024,37,2,16,40,2,1
189,2024,49,2,16,,2,2
190,2024,72,1,19,,2,1
191,2024,22,2,16,,2,0
192,2024,80,1,20,,2,1
193,2024,57,1,18,40,2,2
194,2024,75,2,15,,2,2
195,2024,32,1,16,40,2,2
196,2024,34,2,14,,2,0
197,2024,34,1,12,30,3,0
198,2024,34,1,12,,2,0
199,2024,64,1,14,50,3,3
200,2024,71,1,9,,2,0
201,2024,21,1,12,40,2,0
202,2024,29,,20,25,2,2
203,2024,62,2,15,25,2,2
204,2024,73,2,13,,1,0
205,2024,62,1,15,,1,3
206,2024,,1,1,,2,3
207,2024,74,2,14,,1,1
208,2024,26,2,6,40,1,2
209,2024,58,2,17,,3,4
210,2024,18,2,12,37,2,0
211,2024,22,1,12,44,3,1
212,2024,30,1,12,,3,0
213,2024,39,1,16,60,2,2
214,2024,19,1,13,,2,0
215,2024,41,2,12,15,2,1
216,2024,38,2,11,20,3,2
217,2024,24,2,18,80,2,0
218,2024,66,1,14,,1,2
219,2024,33,1,12,,2,1
220,2024,48,2,16,64,3,5
221,2024,21,2,15,25,3,0
222,2024,28,1,11,8,3,0
223,2024,28,1,12,,3,2
224,2024,29,2,12,,3,5
225,2024,18,1,11,,3,0
226,2024,40,1,14,60,1,1
227,2024,62,1,17,,2,2
228,2024,39,1,12,,3,2
229,2024,,2,12,26,2,3
230,2024,53,2,18,40,2,0
231,2024,41,2,18,40,1,0
232,2024,72,1,14,,1,3
233,2024,34,2,14,40,2,1
234,2024,35,2,16,50,1,0
235,2024,46,2,14,30,1,2
236,2024,80,2,18,,1,0
237,2024,34,2,17,40,3,1
238,2024,35,2,12,,1,3
239,2024,54,1,12,,1,2
240,2024,73,1,17,,1,4
241,2024,49,2,12,32,2,2
242,2024,55,2,12,50,2,2
243,2024,37,2,12,6,2,3
244,2024,44,2,12,20,2,3
245,2024,47,1,11,50,2,6
246,2024,37,1,13,40,2,3
247,2024,,2,17,,3,0
248,2024,48,1,10,40,3,2
249,2024,54,2,13,,3,1
250,2024,28,1,14,30,2,0
251,2024,42,2,13,40,3,3
252,2024,64,2,16,,2,2
253,2024,89,2,0,,3,8
254,2024,82,2,6,,1,2
255,2024,37,2,16,44,1,0
256,2024,80,2,6,,1,0
257,2024,19,1,13,,2,0
258,2024,69,2,14,40,2,2
259,2024,51,2,12,26,3,4
260,2024,68,2,12,40,2,4
261,2024,58,1,14,40,3,0
262,2024,59,2,16,,2,4
263,2024,66,1,16,,2,1
264,2024,22,2,10,6,2,0
265,2024,34,1,16,20,3,0
266,2024,82,1,16,,1,3
267,2024,74,1,16,,2,4
268,2024,61,2,14,8,2,1
269,2024,64,1,17,40,2,1
270,2024,42,1,14,,2,0
271,2024,37,1,,,3,0
272,2024,19,2,10,51,3,0
273,2024,37,2,17,45,2,0
274,2024,70,2,18,50,2,1
275,2024,50,2,12,,2,3
276,2024,39,2,10,,1,3
277,2024,66,2,2,40,1,2
278,2024,46,2,10,,2,4
279,2024,41,2,6,36,2,3
280,2024,48,1,18,60,2,7
281,2024,82,2,15,,3,2
282,2024,68,2,14,,2,2
283,2024,69,2,18,,3,0
284,2024,89,2,16,3,1,2
285,2024,62,1,16,60,2,2
286,2024,82,2,18,,3,2
287,2024,60,1,16,,2,1
288,2024,18,2,13,,1,0
289,2024,64,1,18,,,0
290,2024,79,1,20,,2,6
291,2024,60,2,18,45,2,0
292,2024,38,1,18,40,2,0
293,2024,39,1,16,40,2,1
294,2024,,2,14,40,2,0
295,2024,35,2,15,,2,0
296,2024,61,1,16,55,2,3
297,2024,36,1,16,39,3,0
298,2024,22,2,16,,2,0
299,2024,33,2,12,25,2,2
300,2024,47,1,17,50,2,0
301,2024,60,1,15,70,1,3
302,2024,54,1,16,40,3,0
303,2024,63,1,17,10,2,0
304,2024,54,2,16,40,2,2
305,2024,65,2,16,40,2,1
306,2024,51,1,14,35,2,0
307,2024,69,,4,,3,
308,2024,36,1,15,,3,0
309,2024,,2,16,45,3,0
310,2024,27,2,13,50,3,0
311,2024,61,1,16,,3,0
312,2024,31,1,16,,2,0
313,2024,35,2,12,,3,3
314,2024,50,2,16,40,2,3
315,2024,66,1,15,,2,0
316,2024,31,1,12,40,2,1
317,2024,29,2,12,20,2,0
318,2024,35,2,13,,2,1
319,2024,27,2,15,50,2,0
320,2024,33,1,16,40,2,0
321,2024,69,2,12,,2,2
322,2024,36,1,14,50,3,0
323,2024,38,1,12,70,3,1
324,2024,50,2,12,39,2,1
325,2024,33,2,16,40,3,0
326,2024,39,2,16,42,3,0
327,2024,69,2,18,40,2,0
328,2024,,2,18,40,3,1
329,2024,32,2,12,,3,5
330,2024,57,1,12,,3,3
331,2024,40,1,12,,2,2
332,2024,27,2,12,16,3,0
333,2024,54,1,12,50,2,2
334,2024,44,2,18,40,3,1
335,2024,32,2,12,40,1,2
336,2024,70,2,18,40,3,0
337,2024,73,2,15,,2,4
338,2024,32,1,14,40,2,1
339,2024,61,1,16,40,1,8
340,2024,,2,12,,1,2
341,2024,67,2,12,40,2,0
342,2024,55,1,12,40,3,1
343,2024,33,1,16,45,2,0
344,2024,,2,19,32,2,3
345,2024,31,2,0,40,1,2
346,2024,31,1,12,40,3,0
347,2024,38,1,20,40,3,1
348,2024,38,2,15,30,1,2
349,2024,67,1,12,35,2,2
350,2024,31,2,20,40,2,2
351,2024,39,1,16,40,2,2
352,2024,38,2,16,40,2,3
353,2024,81,1,9,,2,3
354,2024,47,2,15,40,2,1
355,2024,55,2,20,25,2,1
356,2024,66,2,18,,1,2
357,2024,44,2,18,12,2,3
358,2024,18,2,11,,2,0
359,2024,71,1,16,,2,3
360,2024,54,1,16,67,1,2
361,2024,19,1,14,30,3,0
362,2024,58,2,13,37,2,0
363,2024,58,2,12,40,3,3
364,2024,71,2,12,,3,2
365,2024,60,1,16,60,2,2
366,2024,69,1,17,,1,1
367,2024,55,2,15,50,2,2
368,2024,89,2,12,,3,4
369,2024,42,1,16,40,2,4
370,2024,50,1,12,,2,0
371,2024,32,2,16,60,1,0
372,2024,69,1,13,,2,3
373,2024,28,1,12,40,2,0
374,2024,58,1,16,60,1,0
375,2024,76,2,14,,1,0
376,2024,,2,14,25,3,2
377,2024,60,2,14,39,3,3
378,2024,26,1,16,40,2,0
379,2024,47,2,12,43,2,2
380,2024,52,2,14,40,2,0
381,2024,46,2,12,80,2,6
382,2024,80,2,13,,2,0
383,2024,45,1,14,28,2,0
384,2024,35,1,13,40,1,0
385,2024,35,1,16,30,2,0
386,2024,66,1,13,40,1,3
387,2024,46,2,16,80,3,6
388,2024,78,2,11,,1,1
389,2024,74,2,12,,1,5
390,2024,51,1,12,,3,3
391,2024,59,1,12,,3,0
392,2024,36,2,13,,3,4
393,2024,52,2,17,40,2,0
394,2024,63,2,16,,1,3
395,2024,78,1,14,,2,0
396,2024,42,2,13,,1,0
397,2024,77,1,19,,2,1
398,2024,39,2,13,36,1,2
399,2024,83,2,9,,2,5
400,2024,60,1,16,,3,0
401,2024,26,1,16,40,2,0
402,2024,45,1,16,27,2,0
403,2024,23,2,14,40,3,0
404,2024,56,2,12,,1,0
405,2024,54,2,20,14,2,0
406,2024,85,2,8,,3,8
407,2024,,2,17,,1,1
408,2024,69,2,16,,1,1
409,2024,30,1,17,40,1,0
410,2024,37,1,19,5,1,1
411,2024,37,2,16,50,2,2
412,2024,30,2,16,40,2,0
413,2024,26,1,16,40,2,0
414,2024,71,1,18,,1,0
415,2024,60,1,14,40,2,0
416,2024,74,1,16,,1,3
417,2024,61,1,12,,3,
418,2024,43,2,17,24,2,3
419,2024,59,1,16,50,2,5
420,2024,53,2,16,,2,0
421,2024,49,2,12,,3,5
422,2024,40,2,16,40,2,1
423,2024,39,1,17,55,2,3
424,2024,60,2,12,,2,3
425,2024,77,1,12,,3,0
426,2024,67,1,13,,3,3
427,2024,45,1,17,40,1,4
428,2024,47,1,12,40,2,2
429,2024,43,1,9,70,3,2
430,2024,46,2,17,9,2,2
431,2024,53,2,14,,2,3
432,2024,65,2,16,65,2,0
433,2024,58,2,13,,2,2
434,2024,47,1,16,50,2,4
435,2024,45,1,14,50,2,2
436,2024,67,1,17,,2,2
437,2024,37,2,13,36,1,2
438,2024,60,1,17,,2,4
439,2024,74,2,16,,2,1
440,2024,70,2,12,,1,3
441,2024,66,2,16,40,2,0
442,2024,65,2,14,,2,0
443,2024,47,2,18,40,2,5
444,2024,32,1,14,40,2,0
445,2024,49,2,13,40,2,3
446,2024,58,2,18,32,3,0
447,2024,66,2,16,,2,6
448,2024,52,2,19,40,2,2
449,2024,34,2,15,45,2,0
450,2024,46,1,20,60,2,2
451,2024,59,2,17,32,1,2
452,2024,66,2,12,40,2,0
453,2024,35,1,16,40,2,0
454,2024,23,1,16,40,2,0
455,2024,22,2,16,,2,0
456,2024,25,1,16,40,2,0
457,2024,32,1,18,,2,0
458,2024,55,2,20,52,3,1
459,2024,45,1,17,49,2,0
460,2024,59,2,18,40,2,3
461,2024,52,1,16,,2,5
462,2024,33,1,17,40,2,1
463,2024,20,1,10,40,2,0
464,2024,28,1,17,40,2,0
465,2024,43,2,0,,2,4
466,2024,42,1,20,20,3,0
467,2024,66,2,16,,2,2
468,2024,52,2,16,,2,2
469,2024,49,1,16,70,3,1
470,2024,40,1,18,40,3,0
471,2024,53,2,19,40,2,0
472,2024,31,2,16,,1,0
473,2024,36,1,12,54,2,1
474,2024,20,2,12,37,2,0
475,2024,34,1,14,40,2,0
476,2024,58,1,16,40,2,5
477,2024,,2,12,13,3,1
478,2024,68,1,20,40,2,3
479,2024,36,1,15,70,2,2
480,2024,29,2,16,40,2,0
481,2024,35,1,16,40,2,2
482,2024,61,1,12,40,3,1
483,2024,89,2,17,,2,1
484,2024,47,1,16,40,1,3
485,2024,23,1,12,40,1,0
486,2024,38,2,17,,2,2
487,2024,,1,16,40,2,
488,2024,41,1,16,50,2,0
489,2024,30,2,16,40,3,0
490,2024,34,2,18,10,2,2
491,2024,55,2,18,36,1,1
492,2024,53,1,12,,3,2
493,2024,36,1,14,,1,0
494,2024,67,2,16,10,2,2
495,2024,25,2,12,40,3,0
496,2024,66,1,17,40,1,2
497,2024,45,2,18,40,1,0
498,2024,19,1,12,,3,0
499,2024,55,2,14,40,1,2
500,2024,44,2,16,40,2,3
501,2024,32,2,11,,2,2
502,2024,74,1,16,,3,1
503,2024,30,2,10,,1,5
504,2024,43,2,13,25,2,1
505,2024,66,2,13,,1,0
506,2024,27,1,13,40,2,0
507,2024,68,2,13,,3,3
508,2024,26,2,15,,3,2
509,2024,,1,13,,2,0
510,2024,50,1,16,45,2,1
511,2024,59,1,12,4,,
512,2024,,1,18,50,1,
513,2024,49,2,16,40,1,0
514,2024,67,1,16,,2,1
515,2024,52,1,13,,1,2
516,2024,33,2,16,40,3,0
517,2024,71,1,16,,2,0
518,2024,47,1,20,30,2,3
519,2024,41,2,16,40,2,1
520,2024,33,1,16,40,3,1
521,2024,33,2,18,45,2,0
522,2024,,1,18,40,2,3
523,2024,,2,,40,,1
524,2024,42,1,17,40,2,0
525,2024,40,1,12,80,1,2
526,2024,,1,20,40,1,1
527,2024,60,2,16,45,2,1
528,2024,56,1,16,40,2,1
529,2024,53,2,14,40,2,2
530,2024,52,2,12,40,2,3
531,2024,75,1,12,,1,4
532,2024,32,1,17,40,2,0
533,2024,44,2,16,9,2,1
534,2024,33,2,15,45,2,0
535,2024,37,2,12,,2,0
536,2024,24,1,16,37,3,0
537,2024,,2,12,,2,2
538,2024,30,2,16,50,2,0
539,2024,63,1,13,,1,1
540,2024,42,1,16,45,2,2
541,2024,28,1,16,40,1,0
542,2024,37,2,16,40,1,2
543,2024,47,1,18,40,2,1
544,2024,,1,19,55,2,1
545,2024,60,2,16,,2,0
546,2024,36,2,16,40,2,2
547,2024,29,2,16,45,1,1
548,2024,43,1,19,40,2,4
549,2024,56,1,16,,2,1
550,2024,66,2,14,,2,4
551,2024,66,2,12,,2,4
552,2024,,1,16,40,2,1
553,2024,59,2,16,35,2,0
554,2024,42,1,16,,2,0
555,2024,45,2,16,30,2,1
556,2024,77,2,16,,2,2
557,2024,67,1,16,50,1,2
558,2024,64,1,16,,3,0
559,2024,70,2,17,,2,2
560,2024,26,1,14,40,3,0
561,2024,62,1,16,,2,0
562,2024,55,2,16,20,2,1
563,2024,41,1,12,40,1,1
564,2024,74,2,17,,2,1
565,2024,59,2,16,,1,1
566,2024,21,2,13,40,2,1
567,2024,25,2,13,,2,2
568,2024,39,2,12,,2,6
569,2024,18,1,12,,2,0
570,2024,30,2,7,,2,4
571,2024,58,2,9,,3,2
572,2024,21,1,12,20,2,0
573,2024,41,2,16,40,1,2
574,2024,38,2,13,10,1,2
575,2024,52,1,17,59,2,0
576,2024,33,2,14,89,3,2
577,2024,64,2,12,,2,1
578,2024,42,2,15,24,2,3
579,2024,61,2,12,,3,3
580,2024,39,1,13,40,2,1
581,2024,49,2,13,45,2,1
582,2024,24,1,12,,3,0
583,2024,59,1,9,,3,1
584,2024,37,2,13,16,2,2
585,2024,45,2,16,55,2,2
586,2024,42,1,14,40,2,1
587,2024,64,2,5,,3,3
588,2024,76,1,14,,1,2
589,2024,32,2,13,26,,0
590,2024,45,2,14,,1,2
591,2024,32,2,12,,2,3
592,2024,43,2,12,,2,3
593,2024,42,2,9,37,2,2
594,2024,59,1,16,39,3,0
595,2024,77,1,8,,2,6
596,2024,74,2,10,,,0
597,2024,68,1,16,,2,3
598,2024,68,2,10,,2,4
599,2024,64,1,20,,2,3
600,2024,73,2,9,,3,3
601,2024,56,1,11,,2,0
602,2024,42,2,14,,3,3
603,2024,56,2,14,,3,0
604,2024,53,1,12,60,1,1
605,2024,65,1,16,30,3,3
606,2024,74,2,8,,2,2
607,2024,28,1,16,40,1,1
608,2024,35,1,14,50,2,0
609,2024,54,2,14,45,1,3
610,2024,78,2,10,,2,4
611,2024,31,1,14,50,2,0
612,2024,36,2,12,40,2,3
613,2024,65,2,15,48,1,0
614,2024,36,1,16,,2,0
615,2024,64,1,18,72,2,1
616,2024,67,1,12,,1,2
617,2024,33,2,16,40,2,0
618,2024,69,1,13,,2,0
619,2024,24,2,16,40,2,0
620,2024,64,1,16,25,2,2
621,2024,60,1,14,30,2,3
622,2024,74,1,16,,2,2
623,2024,74,1,17,,2,3
624,2024,49,2,16,,2,4
625,2024,64,2,16,40,2,1
626,2024,30,2,12,40,2,0
627,2024,,2,20,,2,0
628,2024,43,1,12,,2,1
629,2024,27,1,16,,3,0
630,2024,86,2,16,16,2,0
631,2024,31,1,16,40,3,0
632,2024,41,2,16,60,2,2
633,2024,30,2,19,40,2,1
634,2024,73,1,18,,2,2
635,2024,55,2,13,32,2,3
636,2024,26,2,16,42,3,0
637,2024,64,2,18,19,3,1
638,2024,47,2,18,40,1,3
639,2024,71,2,13,,1,3
640,2024,39,2,16,45,2,1
641,2024,55,1,12,48,2,2
642,2024,65,2,18,,1,3
643,2024,80,1,14,,2,3
644,2024,39,2,17,16,3,0
645,2024,49,2,16,6,2,3
646,2024,44,2,16,40,1,2
647,2024,33,2,10,,1,4
648,2024,,2,,,2,3
649,2024,46,2,12,40,2,2
650,2024,37,2,12,40,2,3
651,2024,24,2,12,,2,4
652,2024,49,2,12,35,1,3
653,2024,75,1,2,,1,6
654,2024,,1,12,35,2,0
655,2024,36,2,16,45,3,2
656,2024,56,2,14,40,2,0
657,2024,60,2,16,24,2,3
658,2024,53,2,16,32,2,2
659,2024,36,1,18,40,2,1
660,2024,53,2,18,40,2,2
661,2024,35,1,18,,3,4
662,2024,66,1,12,,3,1
663,2024,30,2,13,45,2,0
664,2024,50,1,16,,3,2
665,2024,66,2,14,8,1,2
666,2024,42,2,18,40,2,2
667,2024,57,2,18,40,1,1
668,2024,59,2,16,20,1,0
669,2024,58,1,12,45,2,1
670,2024,54,2,18,,2,3
671,2024,60,1,16,,2,2
672,2024,56,2,15,38,2,3
673,2024,46,2,15,40,1,2
674,2024,,1,,,3,2
675,2024,75,2,14,,2,4
676,2024,67,1,16,,2,2
677,2024,40,2,20,,2,2
678,2024,39,2,13,,2,4
679,2024,58,2,16,40,2,1
680,2024,72,2,12,,2,5
681,2024,44,2,16,40,3,1
682,2024,39,1,16,30,3,0
683,2024,41,1,17,,1,0
684,2024,32,1,10,,3,
685,2024,30,1,16,40,2,0
686,2024,25,1,14,36,1,0
687,2024,30,2,10,,2,0
688,2024,34,1,14,40,3,2
689,2024,,1,17,40,2,0
690,2024,37,1,18,40,2,0
691,2024,24,2,16,40,1,0
692,2024,25,2,13,40,2,0
693,2024,70,2,14,,2,2
694,2024,37,1,12,32,2,3
695,2024,24,1,14,,3,0
696,2024,43,1,10,42,2,1
697,2024,33,2,18,70,2,0
698,2024,64,1,12,,2,3
699,2024,72,2,15,,2,0
700,2024,,2,12,,2,1
701,2024,32,2,17,,2,2
702,2024,51,1,11,40,3,6
703,2024,38,2,15,45,2,0
704,2024,23,2,12,40,2,0
705,2024,24,,,12,2,1
706,2024,34,1,16,38,2,2
707,2024,37,2,14,,3,0
708,2024,77,2,14,,1,2
709,2024,36,1,18,,2,0
710,2024,44,1,12,40,2,0
711,2024,29,1,13,50,2,0
712,2024,55,1,12,,2,8
713,2024,23,2,15,45,1,1
714,2024,,1,16,,2,0
715,2024,33,2,13,50,2,0
716,2024,37,1,16,25,3,0
717,2024,45,2,14,40,1,0
718,2024,33,2,12,,2,4
719,2024,28,1,13,,3,2
720,2024,57,2,15,40,2,2
721,2024,30,1,13,50,3,0
722,2024,40,2,12,20,2,2
723,2024,23,2,14,50,3,0
724,2024,20,2,14,,2,0
725,2024,49,2,19,40,2,3
726,2024,62,1,15,,3,4
727,2024,45,2,10,40,,4
728,2024,30,2,17,,2,2
729,2024,48,2,15,45,2,3
730,2024,41,2,13,30,2,4
731,2024,81,2,13,,3,2
732,2024,59,2,16,,1,3
733,2024,,2,14,,2,1
734,2024,86,1,10,,2,3
735,2024,24,1,14,60,2,0
736,2024,52,2,16,54,2,3
737,2024,18,2,12,,3,0
738,2024,82,1,16,,,2
739,2024,66,1,16,,1,3
740,2024,81,2,13,,2,4
741,2024,71,1,8,,3,3
742,2024,62,1,11,40,2,3
743,2024,34,2,16,,2,8
744,2024,74,2,18,,3,1
745,2024,22,2,16,12,2,0
746,2024,42,2,16,50,2,2
747,2024,45,2,12,38,2,2
748,2024,42,2,14,20,2,3
749,2024,64,2,18,2,2,5
750,2024,62,2,16,,3,1
751,2024,67,2,18,,,2
752,2024,47,2,16,,1,2
753,2024,55,2,16,40,2,3
754,2024,34,1,16,50,2,0
755,2024,47,2,12,80,3,2
756,2024,55,2,12,,2,3
757,2024,65,1,13,68,3,0
758,2024,33,2,20,,2,3
759,2024,29,1,16,60,2,0
760,2024,47,2,12,60,2,1
761,2024,62,1,12,40,1,0
762,2024,40,1,11,,1,3
763,2024,19,1,13,22,2,0
764,2024,60,2,20,,3,0
765,2024,89,2,12,,2,1
766,2024,55,2,18,40,1,3
767,2024,67,2,14,20,2,0
768,2024,58,2,20,40,2,1
769,2024,44,2,12,30,3,1
770,2024,55,2,14,43,2,1
771,2024,59,1,11,,3,2
772,2024,31,2,12,,3,1
773,2024,21,2,12,34,2,1
774,2024,50,2,12,,3,0
775,2024,42,1,15,30,3,2
776,2024,19,1,13,,3,0
777,2024,41,2,12,,2,2
778,2024,32,2,14,,2,3
779,2024,37,2,16,37,2,3
780,2024,44,2,12,,3,2
781,2024,52,2,13,60,1,5
782,2024,31,1,12,50,2,2
783,2024,,2,16,,2,2
784,2024,23,2,16,41,3,0
785,2024,20,2,14,,2,0
786,2024,63,1,10,,2,0
787,2024,84,1,12,,2,1
788,2024,66,2,18,40,3,0
789,2024,56,1,14,40,2,5
790,2024,51,2,16,40,1,1
791,2024,38,1,18,40,2,0
792,2024,47,1,12,40,1,0
793,2024,32,2,12,,2,3
794,2024,66,1,12,25,3,
795,2024,32,2,16,38,2,0
796,2024,31,1,12,40,2,0
797,2024,69,1,14,4,2,3
798,2024,57,1,11,,2,1
799,2024,30,2,16,30,2,0
800,2024,72,1,17,10,3,2
801,2024,60,2,12,,3,2
802,2024,69,2,18,,2,2
803,2024,45,2,17,50,1,2
804,2024,67,2,18,,2,1
805,2024,34,2,16,50,2,1
806,2024,78,2,14,,3,2
807,2024,37,1,14,,3,4
808,2024,70,2,0,,1,5
809,2024,32,2,13,50,2,3
810,2024,37,1,13,52,2,1
811,2024,61,1,18,60,1,6
812,2024,51,2,12,,2,4
813,2024,65,1,3,25,2,4
814,2024,,2,16,40,2,0
815,2024,64,1,16,,3,3
816,2024,59,2,12,,2,7
817,2024,22,2,12,,2,0
818,2024,19,2,12,23,3,0
819,2024,55,1,13,70,2,3
820,2024,18,2,12,,3,0
821,2024,41,2,16,40,1,0
822,2024,58,2,16,50,1,0
823,2024,79,1,13,,1,1
824,2024,21,2,9,,1,0
825,2024,76,1,9,,2,2
826,2024,32,1,12,62,2,0
827,2024,29,2,13,,3,0
828,2024,28,2,13,33,3,0
829,2024,26,2,15,40,1,0
830,2024,59,2,3,,2,3
831,2024,18,2,14,,2,0
832,2024,52,2,12,60,1,3
833,2024,28,2,15,,1,2
834,2024,50,2,10,60,2,1
835,2024,42,2,17,,2,4
836,2024,54,2,12,41,2,3
837,2024,64,1,12,,2,3
838,2024,20,1,14,45,3,0
839,2024,20,1,13,,3,0
840,2024,60,2,14,20,3,2
841,2024,45,1,12,20,3,2
842,2024,61,2,13,48,2,3
